Lexical item,Level
mantener una actitud tolerante,C1
manifestar una actitud abierta,C1
manifestar una actitud tolerante,C1
mostrar una confianza ciega,C1
mostrar una confianza absoluta,C1
mostrar una confianza total,C1
mostrar una confianza plena,C1
tener una confianza ciega,C1
tener una confianza absoluta,C1
tener una confianza total,C1
tener una confianza plena,C1
tener confianza,C1
tener afecto,C1
tener cariño,C1
inspirar confianza,C1
inspirar afecto,C1
inspirar cariño,C1
tratar con cordialidad,C1
tratar con amabilidad,C1
tratar con afecto,C1
tratar con rencor,C1
tratar con odio,C1
tratar con frialdad,C1
tratar con distancia,C1
merecer la confianza de alguien,C1
perder la confianza de alguien,C1
acortar distancias,C1
mantener distancias,C1
acortar las distancias,C1
mantener las distancias,C1
tratar como un rey,C1
llevarse como el perro y el gato,C1
romper el hielo,C1
tener mano izquierda,C1
alimento básico,C1
alimento nutritivo,C1
alimento sin edulcorantes,C1
alimento de primera necesidad,C1
tragón,C1
comilón,C1
glotón,C1
adulterar un alimento,C1
manipular un alimento,C1
estar envasado al vacío,C1
estar enlatado,C1
estar en conserva,C1
comer sin medida,C1
comer de forma austera,C1
comer de forma abundante,C1
ser de buen comer,C1
ser de mal comer,C1
ser de digestión pesada,C1
ser de digestión lenta,C1
ser de digestión difícil,C1
favorecer la digestión,C1
interrumpir la digestión,C1
repetir,C1
producir acidez,C1
producir gases,C1
estropearse un alimento,C1
descomponerse un alimento,C1
comer como una fiera,C1
comer como una lima,C1
hacerse la boca agua,C1
ponerse morado,C1
comer con la vista,C1
bebida refrescante,C1
bebida alcohólica,C1
bebida estimulante,C1
vino afrutado,C1
vino espumoso,C1
mate,C1
mosto,C1
orujo,C1
cuello de la botella,C1
casco,C1
descorchar una botella,C1
succionar,C1
sorber,C1
catar,C1
estar sobrio,C1
estar ebrio,C1
ser abstemio,C1
ser alcohólico,C1
ser abstemio,C1
ser un alcohólico,C1
subirse a la cabeza,C1
subirse el vino a la cabeza,C1
subirse el champán a la cabeza,C1
perdiz,C1
codorniz,C1
papaya,C1
maracuyá,C1
lichi,C1
centollo,C1
cigala,C1
percebe,C1
chirlas,C1
acelgas,C1
col,C1
lombarda,C1
alubias,C1
frijoles,C1
pulpa,C1
pepita,C1
gajo,C1
sobrasada,C1
mortadela,C1
golosinas,C1
chucherías,C1
