Lexical item,Level,Count_PBZ1_1,Total_PBZ1_1,Freq_PBZ1_1,TFIDF_PBZ1_1,Count_PBZ1_2,Total_PBZ1_2,Freq_PBZ1_2,TFIDF_PBZ1_2,Count_PBZ1_3,Total_PBZ1_3,Freq_PBZ1_3,TFIDF_PBZ1_3,Count_PBZ1_4,Total_PBZ1_4,Freq_PBZ1_4,TFIDF_PBZ1_4
abominable,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abominar,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abonado,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abonar,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abonar la prima,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abonarse,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abono,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abono orgánico,B2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborrecer,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborrecible,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abortar,B2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborto,B2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborto espontáneo,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborto involuntario,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborto terapéutico,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
aborto voluntario,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrasador,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrazar,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrazar una religión,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrazarse,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrebotellas,B2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrecartas,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrelatas,B2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrevadero,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrigo,A2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abril,A1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrillantar,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir,B1,0,797,0.0,0.0,0,637,0.0,0.0,1,279,0.0035842293906810036,0.002868850372336709,0,449,0.0,0.0
abrir el apetito,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir el baile,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir el buzón,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir fuego,C1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir la correspondencia,B2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir un documento,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir un expediente disciplinario,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir un regalo,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir una botella,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrir una cuenta,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrirse una cuenta de correo electrónico,B1,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrochar,A2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrocharse,A2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrocharse el cinturón,A2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
abrupto,C2,0,797,0.0,0.0,0,637,0.0,0.0,0,279,0.0,0.0,0,449,0.0,0.0
