Lexical item,Level
inscribirse en un grupo,B1
colaborar como voluntario,B1
tener tiempo libre,B1
estar ocupado,B1
estar libre,B1
tener un compromiso,B1
ir de copas,B1
ir de tapas,B1
ir de marcha,B1
salir de copas,B1
salir de tapas,B1
salir de marcha,B1
aburrirse,B1
pasarlo bien,B1
pasarlo mal,B1
pasarselo bien,B1
pasarselo mal,B1
divertirse,B1
hacer un curso de jardinería,B1
hacer un curso de cocina,B1
ser aficionado a,B1
hacer crucigramas,B1
coleccionar sellos,B1
coleccionar monedas,B1
asiento de un cine,B1
asiento de un teatro,B1
fila de un cine,B1
fila de un teatro,B1
espectador,B1
público,B1
escenario,B1
galería,B1
galería de arte,B1
plaza de toros,B1
poner una película,B1
hacer cola,B1
ser un éxito,B1
árbitro,B1
entrenador,B1
deportista,B1
jugador,B1
perdedor,B1
ganador,B1
balón de fútbol,B1
balón de baloncesto,B1
pelota de tenis,B1
pelota de golf,B1
raqueta,B1
esquíes,B1
partido de fútbol,B1
partido de baloncesto,B1
equipo de fútbol,B1
equipo de baloncesto,B1
carrera ciclista,B1
carrera de motos,B1
carrera de coches,B1
guantes de boxeo,B1
chándal,B1
zapatos deportivos,B1
ganar,B1
perder,B1
empatar,B1
jugar al balonmano,B1
jugar al voleibol,B1
jugar al béisbol,B1
hacer atletismo,B1
hacer ciclismo,B1
hacer natación,B1
campo de fútbol,B1
pista de tenis,B1
ficha,B1
dado,B1
tablero,B1
casilla,B1
concurso,B1
videojuego,B1
consola,B1
juego de mesa,B1
juego de cartas,B1
jugador,B1
ganar,B1
perder,B1
empatar,B1
jugar a los bolos,B1
jugar a los dardos,B1
jugar al billar,B1
jugar con los juguetes,B1
jugar con la pelota,B1
tocar un premio,B1
tocar el Gordo,B1
tocar la lotería,B1
medios de comunicación,B1
medios de información,B1
noticia,B1
comentario,B1
opinión,B1
informar,B1
dar información,B1
tener información,B1
dar una noticia,B1
estar bien informado,B1
estar mal informado,B1
mantenerse bien informado,B1
mantenerse mal informado,B1
dejar un recado,B1
dejar un mensaje,B1
comunicarse con alguien por carta,B1
comunicarse con alguien por correo,B1
comunicarse con alguien por teléfono,B1
comunicarse con alguien por correo,B1
comunicarse con alguien por carta,B1
comunicarse con alguien por correo electrónico,B1
comunicarse con alguien por teléfono,B1
comunicarse con alguien por correo,B1
cortar la comunicación,B1
cortarse la comunicación,B1
buzón,B1
remitente,B1
destinatario,B1
apartado de correos,B1
posdata,B1
firma,B1
saludo,B1
despedida,B1
carta formal,B1
carta personal,B1
cerrar un sobre,B1
echar una carta,B1
mandar por correo,B1
abrir el buzón,B1
contestador automático,B1
buzón de voz,B1
llamada,B1
línea,B1
línea ocupada,B1
prefijo,B1
extensión,B1
batería de teléfono,B1
tarjeta de teléfono,B1
conversación telefónica,B1
guía telefónica,B1
páginas amarillas,B1
marcar un número de teléfono,B1
colgar el teléfono,B1
coger el teléfono,B1
contestar a el teléfono,B1
ponerse a el teléfono,B1
descolgar el teléfono,B1
coger el teléfono,B1
contestar a el teléfono,B1
ponerse a el teléfono,B1
quedarse sin batería,B1
quedarse sin saldo,B1
hacer una llamada,B1
pasar una llamada,B1
devolver una llamada,B1
atender una llamada,B1
recibir una llamada,B1
desviar una llamada,B1
estar comunicando,B1
periodismo,B1
prensa,B1
editorial,B1
cartelera,B1
economía,B1
cultura,B1
deportes,B1
sección de economía,B1
sección de cultura,B1
sección de deportes,B1
agencia de prensa,B1
agencia de fotografía,B1
suplemento cultural,B1
suplemento de economía,B1
publicar una noticia,B1
publicar un reportaje,B1
