Lexical item,Level
espalda,A2
ser calvo,A2
estar calvo,A2
tener el pelo liso,A2
tener el pelo rizado,A2
tener el pelo largo,A2
tener el pelo corto,A2
llevar el pelo liso,A2
llevar el pelo rizado,A2
llevar el pelo largo,A2
llevar el pelo corto,A2
llevar una gorra,A2
llevar un sombrero,A2
llevar un pañuelo,A2
lavarse,A2
peinarse,A2
afeitarse,A2
andar,A2
pasear,A2
correr,A2
subir,A2
bajar,A2
sentarse,A2
ver,A2
oír,A2
coger,A2
hacer ejercicio,A2
hacer gimnasia,A2
hacer deporte,A2
sexo,A2
nacer,A2
crecer,A2
tener un hijo,A2
morir,A2
carácter,A2
optimista,A2
abierto,A2
reservado,A2
tranquilo,A2
nervioso,A2
generoso,A2
egoísta,A2
amable,A2
agradable,A2
tolerante,A2
estar triste,A2
estar contento,A2
estar enfadado,A2
estar nervioso,A2
estar preocupado,A2
gustar,A2
encantar,A2
odiar,A2
tener miedo,A2
tener calor,A2
tener frío,A2
tener sueño,A2
tener sed,A2
tener hambre,A2
tener dolor,A2
estar cansado,A2
doler la cabeza,A2
doler el cuello,A2
ver,A2
mirar,A2
oír,A2
escuchar,A2
egoísta,A2
tolerante,A2
apellidarse,A2
presentar,A2
presentarse,A2
dirección electrónica,A2
prefijo,A2
extensión,A2
nacer,A2
morir,A2
tener la nacionalidad,A2
pedir la nacionalidad,A2
bebé,A2
adolescente,A2
persona mayor,A2
casarse,A2
separarse,A2
divorciarse,A2
tarjeta de estudiante,A2
tarjeta de la biblioteca,A2
paraguas,A2
agenda,A2
tarjeta de visita,A2
maletín,A2
papá,A2
mamá,A2
hijo único,A2
gemelos,A2
hermanos gemelos,A2
ex marido,A2
ex mujer,A2
vivir juntos,A2
vivir con la pareja,A2
vecino,A2
socio,A2
compañero de clase,A2
compañero de trabajo,A2
compañero de piso,A2
reunión,A2
cita,A2
visitar,A2
invitar,A2
fiesta de cumpleaños,A2
fiesta de fin de curso,A2
regalo,A2
regalar,A2
hacer una fiesta,A2
hacer una fiesta de cumpleaños,A2
hacer una fiesta de fin de curso,A2
tener hambre,A2
ser vegetariano,A2
bebida con alcohol,A2
bebida con hielo,A2
bebida sin alcohol,A2
bebida sin hielo,A2
zumo de naranja,A2
zumo de tomate,A2
zumo de frutas,A2
infusión,A2
ron,A2
ginebra,A2
cava,A2
champán,A2
botella,A2
lata,A2
tener sed,A2
tomar algo,A2
lechuga,A2
tomate,A2
zanahoria,A2
plátano,A2
manzana,A2
naranja,A2
patata,A2
ajo,A2
cebolla,A2
perejil,A2
queso,A2
yogur,A2
mantequilla,A2
mayonesa,A2
salsa,A2
merluza,A2
salmón,A2
sardina,A2
atún,A2
gambas,A2
pasta,A2
arroz,A2
chocolate,A2
galletas,A2
cereales,A2
azúcar,A2
sal,A2
pimienta,A2
aceite,A2
carne de ternera,A2
carne de cerdo,A2
carne de cordero,A2
carne de pollo,A2
filete,A2
jamón serrano,A2
jamón York,A2
helado de chocolate,A2
helado de fresa,A2
helado de vainilla,A2
tarta de manzana,A2
tarta de crema,A2
tarta de chocolate,A2
receta,A2
ingrediente,A2
cocinar,A2
llevar salsa,A2
llevar arroz,A2
carne con patatas,A2
filete con patatas,A2
plato combinado,A2
tapa,A2
aperitivo,A2
bueno,A2
rico,A2
plato,A2
vaso,A2
taza,A2
botella,A2
servilleta,A2
cafetería,A2
pizzería,A2
restaurante chino,A2
restaurante italiano,A2
restaurante mexicano,A2
restaurante vegetariano,A2
comida china,A2
comida japonesa,A2
comida rápida,A2
cocinero,A2
chef,A2
