Group,Title,Text file,Total,Count B1,Count C2,Count B2,Count A1,Count C1,Count A2,Count,Freq B1,Freq C2,Freq B2,Freq A1,Freq C1,Freq A2,Freq,TFIDF B1,TFIDF C2,TFIDF B2,TFIDF A1,TFIDF C1,TFIDF A2,TFIDF,msttr,mattr,ttr,rttr,cttr,mtld,hdd,Herdan,Summer,Dugast,Maas
CJK1,CJK1_1,data/texts/CJK1_1.txt,552,23,29,47,10,29,18,156,0.041666666666666664,0.05253623188405797,0.08514492753623189,0.018115942028985508,0.05253623188405797,0.03260869565217391,0.2826086956521739,0.033731633424907016,0.044403404403286176,0.08851529361618649,0.01700734082344342,0.05400236367977789,0.026600101842508692,0.2652595825062576,0.6925,0.6904301075268809,0.4692144373673036,10.18314247460842,7.200569097584374,70.02270774441801,0.8030445623538857,0.8770572154645931,0.9278119974525765,50.06278422337061,0.019974917805973203
CJK1,CJK1_2,data/texts/CJK1_2.txt,630,40,41,36,13,38,7,175,0.06349206349206349,0.06507936507936508,0.05714285714285714,0.020634920634920634,0.06031746031746032,0.011111111111111112,0.2777777777777778,0.06995190425765845,0.06132699418081065,0.05924212267762818,0.018948000358849,0.06650356895184246,0.008643166762764136,0.2843513590272984,0.7620000000000001,0.7652682926829275,0.5717092337917485,12.898348228877945,9.12050949874509,139.6880245881204,0.8661576446085975,0.9102881006156408,0.948630605589148,69.47180986379958,0.014394327741864124
CJK1,CJK1_3,data/texts/CJK1_3.txt,558,27,38,37,8,26,10,146,0.04838709677419355,0.06810035842293907,0.06630824372759857,0.014336917562724014,0.04659498207885305,0.017921146953405017,0.2616487455197133,0.06130197420646085,0.06492033133540814,0.08561783265280369,0.012420022245136395,0.05718791697485567,0.018557342770826293,0.2996529759378898,0.7050000000000001,0.720376344086022,0.5583864118895966,12.118400320461603,8.56900304373163,104.55809737455829,0.8483973736428251,0.9053261581440616,0.9452686980204597,65.01117915318183,0.015381969886190831
CJK1,CJK1_4,data/texts/CJK1_4.txt,1108,63,78,69,17,57,16,300,0.05685920577617329,0.0703971119133574,0.06227436823104693,0.015342960288808664,0.05144404332129964,0.01444043321299639,0.27075812274368233,0.0637393864574338,0.07750997273126746,0.07129248684907859,0.015450292119413667,0.06273220056819563,0.01734635330973374,0.3069882451979588,0.7566666666666666,0.75591358024691,0.5027502750275028,15.157733197532169,10.718135931391446,144.66335740072202,0.8807296279100367,0.8990565372457395,0.9445419619546556,67.48673869809316,0.014817725960556085
EKE1,EKE1_1,data/texts/EKE1_1.txt,482,28,36,41,3,27,5,140,0.058091286307053944,0.07468879668049792,0.08506224066390042,0.006224066390041493,0.056016597510373446,0.01037344398340249,0.29045643153526973,0.05716569430041251,0.07084703451800764,0.09257858533459971,0.004351585468270961,0.06954455057424554,0.01145441055019055,0.30884864618321844,0.73,0.7307598784194528,0.5490654205607477,11.359153746286546,8.032134642539793,98.42196412970863,0.8427542751684917,0.9010520727033888,0.9421657154877406,61.23547365897493,0.01633040360835742
EKE1,EKE1_2,data/texts/EKE1_2.txt,420,39,30,25,10,20,11,135,0.09285714285714286,0.07142857142857142,0.05952380952380952,0.023809523809523808,0.047619047619047616,0.02619047619047619,0.32142857142857145,0.10901692604138805,0.07989314542623774,0.07217443787966712,0.026704968310202064,0.05314748598507755,0.032760267966451984,0.37470805886200514,0.7399999999999999,0.7216245487364613,0.5904255319148937,11.448775833472606,8.095507028133149,101.78779840848807,0.833682733719717,0.9111385715307108,0.9477176176396244,66.72849227760474,0.014986102126207003
EKE1,EKE1_3,data/texts/EKE1_3.txt,306,16,27,23,1,25,7,99,0.05228758169934641,0.08823529411764706,0.07516339869281045,0.0032679738562091504,0.08169934640522876,0.02287581699346405,0.3235294117647059,0.04434285481990303,0.08050284900597207,0.08014586859268426,0.0008241223141377915,0.08137626834214921,0.023433120511278244,0.3107439793963437,0.705,0.7242774566473982,0.5845588235294118,9.640791095194235,6.817068759414726,92.29705214097325,0.8148410604687616,0.9042246126912364,0.9415956846330976,58.530716751098545,0.017085046203218268
EKE1,EKE1_4,data/texts/EKE1_4.txt,493,28,35,45,2,19,9,138,0.056795131845841784,0.07099391480730223,0.09127789046653144,0.004056795131845842,0.038539553752535496,0.018255578093306288,0.2799188640973631,0.05919154611443778,0.060957515892125676,0.0990431682423135,0.005167400763610106,0.04069169974491754,0.025278292023007354,0.298701848441121,0.675,0.6929850746268655,0.49539170506912444,10.320330255852365,7.297575507997905,67.16666666666666,0.7964952965817422,0.8843403004821223,0.9318609361502463,52.50787058427109,0.019044763934867193
FLL1,FLL1_1,data/texts/FLL1_1.txt,617,54,43,38,12,31,13,191,0.08752025931928688,0.06969205834683954,0.06158833063209076,0.019448946515397084,0.050243111831442464,0.02106969205834684,0.3095623987034036,0.07574254847801935,0.0526144786986947,0.05314178167913707,0.01620504915290298,0.052232438993349034,0.020675209002559296,0.2738851382694559,0.6980000000000001,0.7105491990846684,0.4552238805970149,10.539194792092593,7.452336105734618,75.59989586002264,0.8123490155371542,0.874769392949513,0.9272073258979412,50.18049747644628,0.019928060706639668
FLL1,FLL1_2,data/texts/FLL1_2.txt,621,32,44,47,11,23,20,177,0.05152979066022544,0.07085346215780998,0.07568438003220612,0.017713365539452495,0.037037037037037035,0.0322061191626409,0.28502415458937197,0.05979575557340064,0.06045702344072273,0.07972105047495552,0.015506524189935252,0.04761266229152113,0.038870491543344675,0.3064621078166792,0.696,0.7075644028103051,0.4714828897338403,10.813313860884294,7.646167558129772,89.898495633298,0.8353530232021582,0.8799942028255355,0.930333459665988,52.208321266590275,0.019154034754224728
